because_CS,0.515895546,,Mean,Median,,because_CS,0.515895546,Filter values >= Mean,because_CS,0.515895546,,because_CS,0.515895546,,because_CS,0.515895546,,Mean,Median,,because_CS,,obama_NP,-0.403758908,,Mean,Median,,obama_NP
innovation_NN,0.002582243,,,,,innovation_NN,FALSE,,,,,it's_NP$,0.150693666,,,,,,,,,,,,,,,,
little_JJ,0.001771749,,,,,little_JJ,FALSE,,,,,stake_NN,0.150100753,,,,,,,,,,,,,,,,
entire_JJ,0.001669885,,,,,entire_JJ,FALSE,,,,,member_NN,0.149328814,,,,,,,,,,,,,,,,
on_IN,0.001212556,,,,,on_IN,FALSE,,,,,dream_NN,0.148898894,,,,,,,,,,,,,,,,
like_VB,0.0010079,,,,,like_VB,FALSE,,,,,doesn't_DOZ,0.148454846,,,,,,,,,,,,,,,,
,,,,,,,,,,,,do_DO,0.147917654,,,,,,,,,,,,,,,,
,,,,,,,,,,,,infrastructure_NN,0.147903954,,,,,,,,,,,,,,,,
,,,,,,,,,,,,month_NN,0.147486337,,,,,,,,,,,,,,,,
,,,,,,,,,,,,being_BEG,0.146114599,,,,,,,,,,,,,,,,
,,,,,,,,,,,,put_VBD,0.145908601,,,,,,,,,,,,,,,,
,,,,,,,,,,,,comes_VBZ,0.145714669,,,,,,,,,,,,,,,,
,,,,,,,,,,,,something_PN,0.144964036,,,,,,,,,,,,,,,,
,,,,,,,,,,,,may_MD,0.144952479,,,,,,,,,,,,,,,,
,,,,,,,,,,,,happens_VBZ,0.143730824,,,,,,,,,,,,,,,,
,,,,,,,,,,,,decades_NNS,0.143240411,,,,,,,,,,,,,,,,
,,,,,,,,,,,,are_BER,0.142834445,,,,,,,,,,,,,,,,
,,,,,,,,,,,,you_PPO,0.142662659,,,,,,,,,,,,,,,,
,,,,,,,,,,,,applause_NN,0.142577087,,,,,,,,,,,,,,,,
,,,,,,,,,,,,she_PPS,0.142567678,,,,,,,,,,,,,,,,
,,,,,,,,,,,,works_VBZ,0.142085241,,,,,,,,,,,,,,,,
,,,,,,,,,,,,relief_NN,0.141840155,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1_CD,0.141263348,,,,,,,,,,,,,,,,
,,,,,,,,,,,,out_RP,0.14123718,,,,,,,,,,,,,,,,
,,,,,,,,,,,,finally_RB,0.138854689,,,,,,,,,,,,,,,,
,,,,,,,,,,,,trying_VBG,0.138775777,,,,,,,,,,,,,,,,
,,,,,,,,,,,,compete_VB,0.138510167,,,,,,,,,,,,,,,,
,,,,,,,,,,,,over_IN,0.13838239,,,,,,,,,,,,,,,,
,,,,,,,,,,,,where_WRB,0.138174471,,,,,,,,,,,,,,,,
,,,,,,,,,,,,turn_VB,0.137650959,,,,,,,,,,,,,,,,
,,,,,,,,,,,,start_VB,0.137511779,,,,,,,,,,,,,,,,
